activo_id,timestamp,sensor_id,temperatura,vibracion,estado_operativo
EQ-037,2026-04-01T00:00:00,TEMP-001,82.96605015996619,,0
EQ-037,2026-04-01T00:00:00,VIB-001,,31.779255305072297,1
EQ-037,2026-04-01T00:00:00,PRES-001,,,1
EQ-003,2026-04-01T00:00:00,TEMP-001,53.67980031065569,,1
EQ-003,2026-04-01T00:00:00,VIB-001,,42.58565800096659,0
EQ-003,2026-04-01T00:00:00,PRES-001,,,1
EQ-023,2026-04-01T00:00:00,TEMP-001,83.07622690499673,,1
EQ-023,2026-04-01T00:00:00,VIB-001,,17.01694215821418,1
EQ-023,2026-04-01T00:00:00,PRES-001,,,1
EQ-035,2026-04-01T00:00:00,TEMP-001,75.65317227859731,,1
EQ-035,2026-04-01T00:00:00,VIB-001,,39.64664340661587,1
EQ-035,2026-04-01T00:00:00,PRES-001,,,1
EQ-028,2026-04-01T00:00:00,TEMP-001,74.67483493708878,,1
EQ-028,2026-04-01T00:00:00,VIB-001,,12.570183810047075,1
EQ-028,2026-04-01T00:00:00,PRES-001,,,1
EQ-043,2026-04-01T00:00:00,TEMP-001,72.96680008744413,,1
EQ-043,2026-04-01T00:00:00,VIB-001,,5.026305404539539,1
EQ-043,2026-04-01T00:00:00,PRES-001,,,1
EQ-024,2026-04-01T00:00:00,TEMP-001,70.79339143281555,,1
EQ-024,2026-04-01T00:00:00,VIB-001,,43.63598674992673,1
EQ-024,2026-04-01T00:00:00,PRES-001,,,1
EQ-005,2026-04-01T00:00:00,TEMP-001,47.05659538015518,,1
EQ-005,2026-04-01T00:00:00,VIB-001,,7.4598792236827585,0
EQ-005,2026-04-01T00:00:00,PRES-001,,,1
EQ-033,2026-04-01T00:00:00,TEMP-001,56.805802810417426,,0
EQ-033,2026-04-01T00:00:00,VIB-001,,49.5015630233399,1
EQ-033,2026-04-01T00:00:00,PRES-001,,,1
EQ-022,2026-04-01T00:00:00,TEMP-001,27.564567470470173,,1
EQ-022,2026-04-01T00:00:00,VIB-001,,22.52518523088512,1
EQ-022,2026-04-01T00:00:00,PRES-001,,,0
EQ-001,2026-04-01T00:00:00,TEMP-001,78.02624213173851,,0
